pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Do kogo zasadniczo składa się wniosek o pozwolenie na prace przy zabytku wpisanym do rejestru?,Do Generalnego Konserwatora Zabytków właściwego dla miejsca położenia obiektu.,Do wojewódzkiego konserwatora zabytków właściwego dla miejsca położenia lub przechowywania zabytku.,"Do wójta, który prowadzi gminną ewidencję zabytków na danym terenie.",Do ministra właściwego do spraw kultury także w zwykłej sprawie zabytku rejestrowego.,2,Rozporządzenie kieruje większość wniosków o pozwolenie do właściwego wojewódzkiego konserwatora.
Kto rozpatruje wniosek o pozwolenie na prace konserwatorskie przy obiekcie wpisanym na Listę Skarbów Dziedzictwa?,"Minister właściwy do spraw kultury, jako organ dla zabytków z Listy Skarbów Dziedzictwa.",Wojewódzki konserwator właściwy według miejsca przechowywania obiektu z Listy.,Generalny Konserwator jako organ prowadzący rejestr wojewódzki.,"Dyrektor muzeum, w którym obiekt z Listy jest czasowo przechowywany.",1,Dla zabytków na Liście Skarbów Dziedzictwa wniosek o prace kieruje się do właściwego ministra.
Do jakiego organu składa się wniosek o badania archeologiczne na polskich obszarach morskich?,"Do wojewódzkiego konserwatora miejsca najbliższego portu, bez udziału urzędu morskiego.",Do Generalnego Konserwatora Zabytków jako organu wszystkich badań na morzu.,"Do dyrektora urzędu morskiego właściwego dla siedziby wnioskodawcy, niezależnie od miejsca badań.",Do dyrektora urzędu morskiego właściwego dla miejsca badań.,4,Rozporządzenie wskazuje dyrektora urzędu morskiego jako organ przyjmujący taki wniosek.
Jak należy wskazać zabytek we wniosku o prace konserwatorskie lub badania?,"Podać wyłącznie numer rejestru zabytków, bez lokalizacji obiektu.",Podać nazwę obiektu i adres wnioskodawcy zamiast położenia zabytku.,Podać obiekt oraz miejsce jego położenia albo przechowywania.,"Podać miejscowość prac, lecz bez identyfikacji zabytku objętego wnioskiem.",3,"Organ musi wiedzieć, jakiego zabytku dotyczy wniosek i gdzie obiekt się znajduje."
Co dołącza się do wniosku o pozwolenie na prace konserwatorskie lub badania konserwatorskie?,Kosztorys prac zastępujący opis ich wpływu na chroniony obiekt.,Program prac albo badań umożliwiający ocenę ich wpływu na zabytek.,Projekt zagospodarowania okolicy bez programu prac przy samym zabytku.,Sprawozdanie z już wykonanych prac zamiast programu planowanych działań.,2,Program przedstawia planowane czynności i jest podstawą oceny ich wpływu na zabytek.
Jakie informacje powinien łączyć program prac konserwatorskich przy zabytku?,"Stan zachowania, oczekiwany efekt oraz planowane czynności i techniki.","Stan zachowania i koszt prac, bez oczekiwanych efektów oraz metod wykonania.","Oczekiwany wygląd po pracach, lecz bez opisu stanu wyjściowego zabytku.","Planowane materiały i termin, bez określenia czynności ani celu prac.",1,"Program musi pozwalać ocenić wpływ prac na zabytek, dlatego opisuje stan, cel i sposób działania."
Jak wnioskodawca dokumentuje uprawnienie do wystąpienia o prace konserwatorskie przy zabytku nieruchomym?,Dołącza samo oświadczenie o tytule prawnym przewidziane dla zabytku ruchomego.,"Dołącza dokument własności wykonawcy robót, niezależnie od prawa wnioskodawcy do zabytku.",Dołącza zgodę właściciela sąsiedniej działki zamiast dokumentu uprawnienia do obiektu.,Dołącza dokument potwierdzający tytuł prawny do korzystania z zabytku.,4,Przy zabytku nieruchomym rozporządzenie wymaga dokumentu wykazującego tytuł prawny do korzystania.
Jak wykazuje się tytuł prawny przy wniosku o prace przy zabytku ruchomym wpisanym do rejestru?,Odpis księgi wieczystej lokalu przechowywania ruchomego zabytku.,"Dokument potwierdzający własność nieruchomości, bez oświadczenia o ruchomym obiekcie.",Przez oświadczenie wnioskodawcy o tytule prawnym do korzystania z tego zabytku.,Pisemną zgodę użytkownika muzealnej sali zamiast oświadczenia wnioskodawcy.,3,Dla zabytku ruchomego rozporządzenie przewiduje oświadczenie o tytule prawnym.
"Co może przedłożyć badacz zabytku nieruchomego, który sam nie ma tytułu prawnego do obiektu?","Wyłącznie własny program badań, bez informacji o stanowisku właściciela nieruchomości.",Zgodę właściciela lub posiadacza na badania albo oświadczenie o jej odmowie.,Zgodę organu gminy zamiast zgody lub oświadczenia dotyczącego właściciela gruntu.,"Oświadczenie, że zgody udzielono, bez przedstawienia zgody właściciela lub posiadacza.",2,Przy badaniach konserwatorskich lub architektonicznych osoba zamierzająca je prowadzić może dołączyć zgodę albo oświadczenie o jej braku.
Jakie opracowanie można przedłożyć zamiast pełnego projektu budowlanego z wnioskiem o roboty przy zabytku?,Część projektu lub program robót pozwalający ocenić ich wpływ na zabytek.,"Wyłącznie kosztorys robót, nawet jeśli nie opisuje ich wpływu na obiekt.",Tylko pełny projekt budowlany; część projektu i program robót są niedopuszczalne.,Program finansowania inwestycji zamiast opracowania metod i rozwiązań budowlanych.,1,"Rozporządzenie dopuszcza część projektu lub program, jeśli pozwalają ocenić wpływ robót na zabytek."
